,uri,name,description,query,author,n_tracks,playlist_followers
3629,spotify:playlist:47oDPmikTDqcvmdQU2Tb8q,10 Obscure but brilliant hair metal albums,,Hair Metal,metal_hammer,9,362
3630,spotify:playlist:0PAm9Q42J68pp0x0m2ornj,Hair Metal Heaven,,Hair Metal,ultragamer1334,135,356
3631,spotify:playlist:0hi22gLcmx5HASvpqz1C0e,80s Hair Metal Hits!,Some of my favorite hair metal songs from the 80s! Hit shuffle and enjoy!,Hair Metal,qsalazar,51,283
3632,spotify:playlist:5UsHZLOklMoDXgfsyofaJa,Hair Metal Library,"Big hair? Flashy Guitars? High vocals and screamin solos? Fuck yes, everything is here from the underground to biggest bands. From best, to ultimate worst.",Hair Metal,1159601951,310,249
3633,spotify:playlist:5vBvPAsLbYv0BzKJ8LZXRM,Glam Metal/Hair Metal/Sleaze/Hard Rock/AOR/Hard FM/Hard 'n' Heavy Vol. 1,Não quero mais saber de depressão e de coisas pra baixo no Rock &#x27;n&#x27; Roll hoje em dia.,Hair Metal,michaelcarvalhocunha13,1000,228
3634,spotify:playlist:4UV5uUQIBldt0zIALA1f25,80s hair metal ballads,,Hair Metal,1290273375,207,102
3635,spotify:playlist:6gddAcWC2wO0XKshOjo84x,Hair Metal Workout,,Hair Metal,ubece15s2p1wsu1td8yod33gy,116,99
3636,spotify:playlist:64LNqWjY55d6cMiqcgdtO5,Hair Metal Ballads ❤️‍🔥,Power guitar and LOVE.,Hair Metal,3t763r9po9beqhlbdhk37sjoa,117,92
3657,spotify:playlist:37i9dQZF1DWWOaP4H0w5b0,Metal Essentials,Want some metal? Better to start with the essentials. Cover: Ozzy Osbourne,Metal,spotify,100,3641303
3658,spotify:playlist:37i9dQZF1DZ06evO1sJmec,This Is Metallica,"This is Metallica. The essential tracks, all in one playlist.",Metal,spotify,51,1758266
3659,spotify:playlist:37i9dQZF1DXcfZ6moR6J0G,Nu Metal Era,You know what time it is.,Metal,spotify,80,1610902
3660,spotify:playlist:37i9dQZF1DWTcqUzwhNmKv,Kickass Metal,August Burns Red on top of the biggest Metal playlist.,Metal,spotify,70,1393308
3661,spotify:playlist:37i9dQZF1DX9qNs32fujYe,Heavy Metal,"Heavy Metal forever \m/ classics to brand new tracks, play it loud. Cover: Metallica",Metal,spotify,150,1068946
3662,spotify:playlist:37i9dQZF1DWXNFSTtym834,00s Metal Classics,The biggest metal songs of the 2000s. Cover: System Of A Down,Metal,spotify,100,964689
3663,spotify:playlist:37i9dQZF1DX08jcQJXDnEQ,90s Metal Classics,The best metal songs of the 90s. Cover: KoRn,Metal,spotify,100,788225
3664,spotify:playlist:37i9dQZF1DX5J7FIl4q56G,All New Metal,This week's best new metal tracks. Cover: BABYMETAL ,Metal,spotify,71,677728
3665,spotify:playlist:37i9dQZF1DWY3PJWG3ogmJ,Extreme Metal Workout,Powerful and rhythmic  metal for maximum power during your workout.,Metal,spotify,120,550581
3666,spotify:playlist:37i9dQZF1DX06VUQ1GoKge,Metal Charge,"Louder, faster! Kickass metal tracks to drive you forward.",Metal,spotify,100,482478
3667,spotify:playlist:37i9dQZF1DXbl9rMxGEmRC,Extreme Metal,"Black, death and beyond. Recent tracks and classics from the world of extreme metal. Cover: Darkthrone",Metal,spotify,100,424138
3668,spotify:playlist:37i9dQZF1DWUnhhRs5u3TO,10s Metal Classics,The best metal songs of the 2010s. Cover: Avenged Sevenfold,Metal,spotify,75,354315
3669,spotify:playlist:37i9dQZF1DX6P51sFpSo2r,Metalcore Classics,The perfect mix between old-school and modern Metalcore. Cover: Bullet For My Valentine,Metal,spotify,50,297536
3671,spotify:playlist:37i9dQZF1E4EBdeEVqipSd,Metallica Radio,,Metal,spotify,50,243708
3672,spotify:playlist:37i9dQZF1DWTXGqmP0bfT3,Energy Booster: Metal,Need to get your energy level up? This will help!,Metal,spotify,100,240309
3673,spotify:playlist:37i9dQZF1DWUJiNTfqDwyS,Metal Covers,A collection of the best Metal covers out there. Cover: Metallica,Metal,spotify,50,238925
3675,spotify:playlist:37i9dQZF1DX5FZ0gGkvIRf,Best of Kickass Metal 2022,"Kickass Metal Presents... The Best Metal Songs of 2022. Cover: Ghost
#SpotifyWrapped",Metal,spotify,100,125940
3676,spotify:playlist:2xsIoqzZXdHDvnrot6Z8ql,🤘🏻 Rock/Metal 🤘🏻,,Metal,joelebrahimi,467,87326
3677,spotify:playlist:4Qw9FoTP2pp82yYDM0DCN3,Jam Bands / Lockn Festivals,,Jam Bands,adampeshek,205,9252
3679,spotify:playlist:6VHMyvY33v7LofM3E8YpTm,Jam Bands,,Jam Bands,oldrow,182,4398
3680,spotify:playlist:4RWqHrr0I05WxawkaWV1jM,JamBand/Bluegrass/Funk/ Jam Bands/ JamOn Radio/ The Lot,Your one stop shop for everything that’s anything jam band. Click shuffle and enjoy,Jam Bands,1245547078,1318,2164
3681,spotify:playlist:4NHoeuhER1t7E5GDzzWJVv,Better Than Sirus Jam On JamBand • Ultimate Jam Bands playlist (updated often),"I add a bunch of jam stuff to this often.  If you want you band added, contact: kev743 at gmail",Jam Bands,kfunkorange,765,1914
3682,spotify:playlist:2VhbXLMacB4tE19Bgjswye,Jam Bands Live,Bands That Jam Performing Live (a loose interpretation),Jam Bands,1218091194,8057,1912
3683,spotify:playlist:5xOSM9aI6uTbCUo8XXrOkd,Jam Bands & Roots Rock,"Phish, O.A.R., DMB, Dispatch, Grateful Dead, Blues Traveler, Counting Crows, Rusted Root, Twiddle, Allman Bros, Sublime, Dirty Heads, Perpetual Groove, Black Crowes, Neil Young, Bosstones, new and  independent artists and much more.  Sway awhile with me!",Jam Bands,1256257428,866,1510
3684,spotify:playlist:285aKqXmsIzCP1jRI58PCJ,Heady Dance Party (Psychedelic Funk/Jam Bands/Bluegrass/Prog Rock),"Submissions: @finnstermusic on IG. Jamband&#x2F; jamtronica, psychedelic rock, funk, bluegrass, indie, and progressive rock playlist! Old and new artists as well as larger, medium sized and up and coming artists in the scene.",Jam Bands,12128634545,351,1271
3685,spotify:playlist:4B37fAJeCHgZ1omWKcgDV8,JAM Bands 2021,"This is a listing of top Jam bands; ZBeen adding new bands to the list, it is getting good. Best listened if you shuffle.  Thank you for listening; please like and share",Jam Bands,121799275,441,836
3686,spotify:playlist:1FAlwKlJcyAOi4QodtdCDG,90s Jam Bands,,Jam Bands,1287320544,47,761
3687,spotify:playlist:3MIz7GZVcB3tyPVXSvvZuT,Jam Bands- best #1,,Jam Bands,zj7v0nusstf43y7b3199jq0uc,471,710
3688,spotify:playlist:1M5GZzQIAawn5dHdcSVAc2,Live Jam Bands,Curated list of jammy tunes,Jam Bands,challock001,83,557
3689,spotify:playlist:1bgaVgRzQksPOKNTia67KJ,Classic rock/ jam bands,,Jam Bands,jhjurgovan,1376,487
3690,spotify:playlist:6EWZnJhkw0t3TKXIGwMXg9,Jam Bands Instrumental,"Playlist Created with https:&#x2F;&#x2F;www.tunemymusic.com?source=plcreateds that lets you transfer your playlist to Spotify from any music platform such as YouTube, Deezer etc",Jam Bands,12164448247,18,189
3691,spotify:playlist:3yeUAMTNdGW7o2YXge7W4X,Modern Jam Bands,"Feat. The Disco Biscuits, Pigeons Playing Ping Pong, Goose, Spafford, Dopapod, Papadosio, TAUK, Circles Around The Sun, Lotus, Boombox, Turkuaz, The Motet, Big Something, Aqueous, CBDB, Magic Beans, The Fritz, Kendall Street Company &amp; more!",Jam Bands,12167043206,415,134
3692,spotify:playlist:3msx4lQVWyEUrkj9G1r3Nz,Blue Grass and Jam Bands,,Jam Bands,jbhokie,315,79
3693,spotify:playlist:7obFHnLgRSCA15jrdKLkmH,Jam Bands Live,,Jam Bands,1229424587,434,46
3694,spotify:playlist:4vTaYkwanx3QH79rPJhOmy,Jam Bands,,Jam Bands,wilson_wine,214,23
3695,spotify:playlist:3X88awfZvU1T8jLjwHFjwd,jam bands/americana/bluegrass/blues/folk/country,,Jam Bands,herobrinenyan,603,10
3696,spotify:playlist:3pa5xRmp9R9aS4dzYjywwz,Jam bands,,Jam Bands,gratefulbron,2118,3
3697,spotify:playlist:0nmlc0tinMUv5dWb4MD6Va,Prog and Art Rock,"Progressive Rock, Proto-Prog,  Art Rock, Experimental Rock, avant-garde, Space Rock, Kraut Rock, Symphonic Rock, Jazz Rock, Canterbury Scene, Fusion, AOR, New Prog, Progressive Metal,... (picture: belwoodmusic.com)",Prog-Rock/Art Rock,pzdw7j3y552qt05siap1ts67j,2436,58
3698,spotify:playlist:6ZCJVfqAy6ZYECBZuTucos,Progressive Rock/Jazz Fusion/Art Rock/Symphonic Rock  +200 hours 🏔️,,Prog-Rock/Art Rock,erdeksami,2341,25
3699,spotify:playlist:7GEv4UtDfK9PjqzTiYwwNg,Progressive Metal/Heavy metal/metal/speed metal/thrash metal/groove metal/death metal/classic rock/prog rock/art rock/pop rock/grunge,"Playlist Created with https:&#x2F;&#x2F;www.tunemymusic.com?source=plcreateds that lets you transfer your playlist to Spotify from any music platform such as YouTube, Deezer etc",Prog-Rock/Art Rock,31ujx23d562y6w5tjjdltifbkjaq,366,11
3700,spotify:playlist:46HnPy3jpAEhyL2Zpy9rjM,Prog Rock/Pop Rock/ Art Rock,,Prog-Rock/Art Rock,jacksonsiqueira,113,4
3701,spotify:playlist:6Py9wFN4DoOUcQY9s13Xla,Prog & Art Rock,,Prog-Rock/Art Rock,t3m3qv0sofhwoi1nli5u39ng6,257,2
3702,spotify:playlist:21P1atN9jia5CPWzHkdof5,"Art Rock, Progressive",,Prog-Rock/Art Rock,gpedroarena,107,2
3703,spotify:playlist:1PRfaUWZDZVz91ddzjUU2I,Prog & Art Rock,,Prog-Rock/Art Rock,1125224594,222,2
3704,spotify:playlist:6hqhhZsW0SKgHx7J5v9SUw,Art Rock/Prog/Other Rock,,Prog-Rock/Art Rock,316je4uldtkdi2u42nb5oocg32xa,557,1
3705,spotify:playlist:45Crz4qJ0lFW6Tx2G7OnYv,Progressive Art Rock,,Prog-Rock/Art Rock,wolli1966,546,1
3707,spotify:playlist:7zD1GeBWe1WixxOFgpoYDE,progressive art rock metal,from TOOL to Zappa,Prog-Rock/Art Rock,beau3606,160,1
3708,spotify:playlist:1SSuzxn3vDWMNcdgj2RjdZ,"Experimental, prog, & art rock","art rock, progressive rock, experimental rock, psychedelic rock, avant garde rock",Prog-Rock/Art Rock,bjupsu0c05afay17en6clcxdc,150,1
3709,spotify:playlist:6SRrwQM3Unnno3LzT3jBAY,Art rock/progressivo Nacional,,Prog-Rock/Art Rock,22vnzq6a235swfftvpnpwdlvy,72,0
3710,spotify:playlist:3IdvZJcaCWJfGcaeCQS73M,Art Rock/Art Pop/Sophisti-Pop/Heavy Psychedelia/Prog/Avant-Jazz,And much and many more.,Prog-Rock/Art Rock,31ojy6xux54j3tzbjcw6gdc2thiq,186,0
3711,spotify:playlist:1Vlb8b8Kl9eIXDJ1b0nhwm,PROG/ART ROCK,,Prog-Rock/Art Rock,i6vtzmoblog2sqm2ln75w823j,111,0
3712,spotify:playlist:6rlPLmbgu9UKMHR6NSqG6P,"Marzo ‘23: art rock, progresivo, hippie",Después de un mes metalero regresa mi lado hippie y esta vez con más artistas latinos,Prog-Rock/Art Rock,31yfe3axf2a3nkiwedqwz5i6pw3e,28,0
3713,spotify:playlist:7GGxhf7FkPHxBgfoDnT2bt,CCA Pre-Show - Art Rock / Prog / Experiemental,,Prog-Rock/Art Rock,31negwyodp276kgyf76hvjagfxqm,34,0
3714,spotify:playlist:56wbaQvZlqKE6Pijmg0STh,Hardcore thrash metal/Progressive metal/Nu metal/Art rock/Math rock/Psychedelic rock/Alternative,,Prog-Rock/Art Rock,31elzsgvz6yftsz6hcuuda2iffju,248,0
3715,spotify:playlist:1Nbmi4uCFnCp1HX98HjDw7,Progressive & Art rock,,Prog-Rock/Art Rock,31ttkepoap53yh7ngth2inujj7pi,14,0
3716,spotify:playlist:5bHVsNZkrkVU80cDV6kjok,Prog & art rock 12-2021,,Prog-Rock/Art Rock,117954866,39,0
3717,spotify:playlist:37i9dQZF1DWSDoVybeQisg,Psychedelic Rock,Expand your mind with these psychedelic rock treasures. Cover: The Doors,Psychedelic,spotify,75,1068760
3718,spotify:playlist:37i9dQZF1DX7k3T9O9bscd,Neo-Psychedelic Rock,Psyched-out bands from the four corners of the world. Temples on cover.,Psychedelic,spotify,75,343837
3719,spotify:playlist:37i9dQZF1DWVyizF9BJ61m,Afro Psychedelica,"From Lagos to Zambia, find classic African psychedelic rock & funk jams here! Cover: <a href=""spotify:artist:05LK9pT8ScfWNT0UbDsyqe"">Ofege</a>",Psychedelic,spotify,50,250649
3720,spotify:playlist:7hKB7ggXpymJTbT5eshTIi,Trippy / Psychedelic Playlist (Good Vibes),"Psychedelic rock, Psychedelic Pop, Neo-Psychedelia, Shoegaze, Dream Pop and Shimmer Pop, with undertones of funk. Contact PsychSoundsOfficial@gmail.com",Psychedelic,11172901996,124,76965
3721,spotify:playlist:1vaKbp0mpeUqHR0QwN9PQF,Psychedelic Trance,Psytrance I Have Known And Loved,Psychedelic,sylenz713,2380,58939
3722,spotify:playlist:3ZsLD4E7ULFOmv4elTBw9f,Psychedelic Chill,Chill music with psychedelic vibes and touches of blues.,Psychedelic,rashed_ahmad,118,33434
3723,spotify:playlist:1cPIgQBzSthkjZuSRxUPQM,Psychedelic Indie Rock,,Psychedelic,davidtoral98,992,26890
3724,spotify:playlist:1CFuBlRrlTTVZox7gpjTV7,Psychedelic music/high jams,,Psychedelic,1249776507,1407,23497
3726,spotify:playlist:3FnGA7QZoIaEkTPensobDS,Psychedelic Space Rock,,Psychedelic,alerenn,1573,19147
3727,spotify:playlist:0nJj1RM0nUjtY7lJLecomT,Psychedelic 60s 70s,"Psychedelic Rock, Acid Rock, Blues Rock, Progressive Rock, Garage Rock. Have a good trip! 🍄✌🏼 ",Psychedelic,21w3zhvecuuyoy773buweiw4q,257,16060
3728,spotify:playlist:37i9dQZF1DZ06evO0pC53g,This Is The Psychedelic Furs,"This is The Psychedelic Furs. The essential tracks, all in one playlist.",Psychedelic,spotify,50,13924
3729,spotify:playlist:3W7uODYLA9IdgBWUnYetQ9,psychedelic rock & high jams 🌌,my very best of music to get high,Psychedelic,luccgoes,390,7518
3730,spotify:playlist:2tYwKuoV9YkRuXOMuVwSWa,PSYCHEDELIC CUMBIA,for the soul ,Psychedelic,yasmeenestrada,34,6224
3731,spotify:playlist:233QHLsMhXceP8xharLmzI,Psychedelic Therapy: Heart Opening,"Emotional, dynamic, sweeping. May also serve as a soundtrack for meditation, yoga, or any heart-centered practice. ",Psychedelic,tracelechescake,36,3033
3732,spotify:playlist:2WCAu4C2TeNFsyi6a6xkKx,Psychedelic instrumental,,Psychedelic,ianferrergarvin,48,2595
3733,spotify:playlist:5Jny5UnpSU8EmCUEcwDSfm,Psychedelic Country & Weird American Music,"frequently updated collection of psychedelic folk, cosmic country, country-funk, &amp; hippiebilly songs. &#x2F;&#x2F; instagram: @holidaysinamerica ",Psychedelic,1210503344,599,2523
3734,spotify:playlist:37i9dQZF1DZ06evO4ysioE,This Is Psychedelic Porn Crumpets,"This is Psychedelic Porn Crumpets. The essential tracks, all in one playlist.",Psychedelic,spotify,37,2149
3735,spotify:playlist:25nTbaIjqXBGzLOUiyzo7C,60s dark trippy psychedelic rock,psychedelic rock classic rock blues rock &#x2F; Jefferson Airplane the Doors the Beatles,Psychedelic,olga3002,53,1442
3736,spotify:playlist:4bqNp2kEM74wHMPqFyspZ5,psychedelic rock,,Psychedelic,ethankproductions,27,1420
3737,spotify:playlist:37i9dQZF1DWWRktbhJiuqL,Pure Rock & Roll,"Various sounds, various decades, but with 1 thing in common: it's pure rock & roll.",Rock & Roll,spotify,100,1544485
3738,spotify:playlist:1fDiwGc8mQ67tY98cFhu0f,Rock and Roll Classics,Rock and Roll Classics,Rock & Roll,h8or3zwclugg51ttm4pql3bod,96,89375
3739,spotify:playlist:37i9dQZF1DWZRAOlygQnpT,Rock & Roll en Español,"¡Ahi viene la plaga... por eso, aviéntense todos a bailar!",Rock & Roll,spotify,100,63028
3740,spotify:playlist:37i9dQZF1DX4PB22uESAd3,Roots of Rock & Roll,The artists who laid the groundwork for Rock & Roll. Cover: Sister Rosetta Tharpe.,Rock & Roll,spotify,70,36719
3741,spotify:playlist:5qNHuEyfs4QHR8NI4oNaxE,Rock and Roll,,Rock & Roll,stefanneumann22,587,28735
3742,spotify:playlist:37i9dQZF1DWWNdUy4Dt6x4,Rock 'n Roll,Rock legends and epic songs spanning decades that continue to inspire generations.,Rock & Roll,spotify,41,13750
3743,spotify:playlist:6JK5bAOhQtw4BXEJtYaf3F,Rock & Roll (50’s & 60’s) - Español,,Rock & Roll,ivanparraz,102,5855
3746,spotify:playlist:1LS5F6QIWoMT7oQWl6RruB,Ka Solution - Rock & Roll,Quem disse que só ministramos treinamentos? Também gostamos de música de qualidade. Aproveite!,Rock & Roll,22yj5fr57ia3vtujq6wury2fa,74,3319
3747,spotify:playlist:1Z48EcFzK6fcH6UEkbvYAC,Rock & Roll de los 60's,,Rock & Roll,22c5brhrv32iw4x3leznzfxjq,100,1721
3748,spotify:playlist:5AG0Qo01OXGQboWOCwxDYm,Soundcree Rock & Roll,"Soundcree is the place to go for Rock Music, enjoy the best tracks. Soundcree Network has the best tracks from established and new artists. The Best Rock Music....",Rock & Roll,31onrpuxn32orff2sljbtu36ef64,149,1365
3749,spotify:playlist:0Xq8jESjEZvA4WQO3LJC68,Rock & roll 50s & 60s classics,,Rock & Roll,112969215,198,1221
3750,spotify:playlist:2I17tXoxhpEXq8I0X6sT82,Best of the 1960's Rock & Roll,Just goofing off putting songs together.,Rock & Roll,1276956587,120,1162
3751,spotify:playlist:0lBn4Gx0K5kMyuJp1URWBx,Rock & Roll 50s Mix -,,Rock & Roll,nestorportoles,56,1065
3752,spotify:playlist:4xfz6zwuiOKePIkCd77vmd,60s-70s Rock and Roll,,Rock & Roll,bpxuys2nszre1u70bkutgmwlv,313,929
3753,spotify:playlist:0ZrfBhzftYYhuXfGPd93yH,Rock & Roll Hall of Fame,My personal playlist of some of the greatest rock songs of all time. You will recognize every song here.,Rock & Roll,2173srbiydmm24t2n7edoxrfa,151,875
3754,spotify:playlist:0P2urrXVlfwSFO96iJYRt0,Rock Rollinga,"Rock and Roll Stone, Argentino.",Rock & Roll,marianomemmo86,334,716
3755,spotify:playlist:4lTDusBfGxzaGvsrV6lBt7,Rock & Roll Racing,Trilha Sonora do clássico jogo da Blizzard,Rock & Roll,marsguim,6,597
3756,spotify:playlist:41Qgn46dISDuUp4oynvZCd,Rock & Roll 80's 90's & 2000's ,Get ready to sing and dance to these timeless Rock ballads. These hits will get you in the mood to party. ,Rock & Roll,31rihlmqatnktu2eu4yjcxf7dxmy,110,536
3757,spotify:playlist:37i9dQZF1DX0xLQsW8b5Zx,Rockabilly Mania,"Live fast, die awesome! A great mix of the best rockabilly tracks.",Rockabilly,spotify,60,520503
3758,spotify:playlist:37i9dQZF1DX47i8ytbYGJE,Country 101: Rockabilly,Hillbilly and Rock music fusing together called Rockabilly!  Thankyouverymuch...,Rockabilly,spotify,204,69529
3759,spotify:playlist:37i9dQZF1DWVhEq8aJ7AYV,Rockabilly Surf,Tengan a la mano las máscaras de lucha libre y la tabla de surf.,Rockabilly,spotify,75,62390
3760,spotify:playlist:5k767i6buIfL5GmaoMeVUs,ROCKABILLY,,Rockabilly,rufus96,666,36277
3761,spotify:playlist:37i9dQZF1DX4xmaCWnHTsV,Rockabilly Drive,Classic rockabilly and early rock 'n' roll.,Rockabilly,spotify,50,16987
3762,spotify:playlist:6gBSvUOiDDBjtpqjCyofwG,Rockabilly Party,"New songs every friday! Rockabilly, rock n roll and some country. Music from, or inspired by the 50's.",Rockabilly,topcats_official,151,15381
3763,spotify:playlist:5R1ZFCiUiKnX4rT6eZ7YI4,rockabilly hot rod music,,Rockabilly,22gbgisvkezx6oddcj43imxbi,501,14235
3764,spotify:playlist:37i9dQZF1DWUB167twpvS4,Rockabilly Rebellion!,"Be an ear-witness to the music that gave birth to Country, Pop and Rock.",Rockabilly,spotify,63,13412
3765,spotify:playlist:0dUblHWeMAY4euK3cDX3st,ROCKABILLY DANCE,IG: @BrunoStarring,Rockabilly,22jcs2zbu4syyfdtvio3s5iqi,242,10223
3766,spotify:playlist:7cBXrT2eu7jhwRpbMW8PJe,Classic Rockabilly,,Rockabilly,jack1264,261,8159
3767,spotify:playlist:2YTulhSLNCRGTRLLaNLcIG,Best of 50's Rockabilly,The best and wildest 50s Rock and Roll and Rockabilly.,Rockabilly,fernyhm,71,8031
3768,spotify:playlist:3se93qA4tiYycL0k0c6aGx,Rockabilly la sensación,,Rockabilly,vikoallonso,42,7406
3769,spotify:playlist:1cwFhbLJmdFlyPvhU4rb9s,Rockabilly Garage - Hot new Rockabilly and Rock'n'Roll Classics.,Great Rockabilly and Rock'n'Roll. New fresh songs mixed with good old classics...,Rockabilly,atenziarecords,101,4029
3770,spotify:playlist:51dZ14YKJhHKpVnL3MXj7G,Rockabilly/ Physcobilly,,Rockabilly,1228439894,152,3930
3771,spotify:playlist:5OdqC5z9Qs9NTpKJ4OkMGn,Rockabilly - Rock'n Roll - 50's - Rock a billy 🍻🤘,Real Pure Rockabilly-rock´n Roll- 50´s..,Rockabilly,harri.weckman,1358,3900
3772,spotify:playlist:1Tsl9A9sfk8qbnBsNFXvL6,"Rockabilly, Psychobilly & Horror Pop","Cool cats and hot chicks... lipstick devil dolls and drag strip zombies... welcome to the jukebox party that never, EVER stops shakin&#x27;!!!",Rockabilly,kent1818,3928,2867
3773,spotify:playlist:2dMj6W0kt4YovjfiADzHjd,Rockabilly/Raggar Hits.,,Rockabilly,clasp%C3%B6smunk,1092,2390
3774,spotify:playlist:4pdtXtiIs3U1FCnLAnsTWr,ROCKABILLY COVERS,,Rockabilly,huevan74,33,1631
3775,spotify:playlist:1Up5iMpVXR2h8WveHJOPNL,Rockabilly Español,,Rockabilly,1140571567,72,1441
3776,spotify:playlist:401HK96zS55kQUSEKoydzb,Rockabilly Radio,1950s rock and roll with some psychobilly and surf rock thrown in.,Rockabilly,1244428002,969,1148
3778,spotify:playlist:7CDNzffOEVvm9Bb6illxWo,Blues And Roots Rock,,Roots Rock,11133424255,78,2852
3780,spotify:playlist:6gFZzuRBIxrXYEYlFTEbtO,Roots Rock Reggae,"Exitos y clasicos de los iconos del reggae internacional, un recorrido por la isla donde nacio el genero.",Roots Rock,scotticuervo,101,1197
3781,spotify:playlist:3NQRzbv9bn4Z0Vg2urBiZy,Roots Rock & Americana,"A collection of the best comtemporary Roots Rock, Americana, Blues, Soul, and Folk from Austin and beyond.",Roots Rock,planksta,88,861
3782,spotify:playlist:38EwHM55CsJl1DwxxwWQU4,Roots rock reggae,,Roots Rock,jeppebjork,4369,481
3783,spotify:playlist:5gfi9VgEJ9Nb4CfY1B1ani,"The Creek 100.9 FM WNEX – Macon, Georgia - Americana - Soul - Blues - Roots Rock - Alt Country","I&#x27;m a huge fan of this independent radio station from Macon, Georgia, and I listen to it everywhere I go via Internet streaming. This playlist is a tribute to the &quot;Real Music&quot; broadcast by this fantastic station, WNEX 100.9 FM. www.thecreekfm.com",Roots Rock,leecoursey,599,249
3784,spotify:playlist:2q0Z4fcsGUCKBKf8Dc8TOo,Reggae killer roots rockers Dub 70s 80s,"Rare tunes, classic sound system killas to obscure biscuits.",Roots Rock,lucasblaya,350,154
3785,spotify:playlist:2UZmeyHTrYBmD1oltfV5bl,"Fresh Vintage: Modern Soul, Folk, Blues & Roots Rock (21+)",,Roots Rock,schoolofrockbedford,30,22
3786,spotify:playlist:4ylVQZo9MMzq3xhboXCfeG,Roots Rockers Music,,Roots Rock,31r74uf5xatlo2em7q2dofb5obie,1985,20
3787,spotify:playlist:37i9dQZF1EIcvP4XCDvMeg,Roots Rock Mix,Roots Rock music picked just for you,Roots Rock,spotify,50,0
3788,spotify:playlist:37i9dQZF1EIe3767hSI49a,Roots Rock Reggae Mix,Roots Rock Reggae music picked just for you,Roots Rock,spotify,50,0
3789,spotify:playlist:6wkhCoQqLM1kADAL63Q8zz,DistroKid Singer / Songwriter,"Singer / Songwriter favorites. Songs distributed by DistroKid, playlist curated by the public. To vote, head to: distrokid.com/spotlight",Singer/Songwriter,bxv6myddmviz546hlcxia9t5g,50,264904
3791,spotify:playlist:37i9dQZF1DWWzN91i1LVSo,Chill Singer-Songwriter,a fresh & mellow mix from some of today's best singer-songwriters. Cover: Jensen McRae,Singer/Songwriter,spotify,100,116682
3792,spotify:playlist:37i9dQZF1DXdbTERrLjYkP,Next Gen Singer-Songwriters,Discover the next wave of talent on the scene writing their own songs. Cover: nicole han,Singer/Songwriter,spotify,50,80565
3793,spotify:playlist:37i9dQZF1DWTyjRnMgESue,Today's Singer-Songwriters,The best new songs from modern singer-songwriters. Cover: Hozier,Singer/Songwriter,spotify,100,47465
3794,spotify:playlist:2QT68Q0egPz7uYqcwkmNTL,acoustic/singer songwriter tunes,"a mix of mellow acoustic &amp; singer songwriter heartfelt tunes | acoustic hits, indie folk, mellow music, calm and relaxing, acoustic love songs, indie acoustic, singer songwriters, chill guitars. IG - @sugarcoat.music",Singer/Songwriter,31hdx443wpbgnbrioaetwnyffp3y,75,36413
3795,spotify:playlist:1j96wuGKm4kZxvQIHG5Ym3,Singer Songwriter,Luxury Music Group Presents: Singer Songwriter | Submit your music to luxuryplaylists@gmail.com,Singer/Songwriter,31l3pkpreziehjqfylx6bneoadx4,15,24199
3796,spotify:playlist:0laXYPFf5fTMw2SRc90Xxk,"NEW INDIE MUSIC / Indie Radar 2023 New Indie, New Alternative, New Indie Rock, New Singer-Songwriter",Collection of NEW Indie Rock | Indie Folk | Alternative | Singer-Songwriter | Indie | Best Indie 2023 #NewMusicWednesday @ftlobmusic,Singer/Songwriter,fortheloveofbands,57,7013
3798,spotify:playlist:4XYk3qCCG1PIEytFfMaOwQ,Acoustic Singer Songwriter,"Indie Folk, Folk Pop, Indie Pop, Acoustic Pop",Singer/Songwriter,11138599804,62,6648
3799,spotify:playlist:6UYyiQhn0S9i12khb862gw,Singer Songwriter Coffee Break,"Pour a coffee, get out your journal and relax to this mix of singer songwriter  tunes. A mix of pop, folk, indie folk pop and anything that helps you take a break. Missing anything? Submissions -&gt; www.neoncollectivemusic.com",Singer/Songwriter,ot1wnkmdejhbtausgs0633e94,45,3682
3800,spotify:playlist:7glVFcpFgiAsLB7gvzeqIP,RadioWV:  Singer-Songwriters,"Emerging Artists from Appalachia and beyond:   Charles Wesley Godwin, Drayton Farley, David Jameson, Cole Chaney, Colby Acuff, hopefully Logan Halstead soon, &amp; a few other similar artists. Some of of these were highlighted by Grady Smith. (playlist by fans for fans)",Singer/Songwriter,davidh-my,586,3494
3801,spotify:playlist:6JUng9Z6Phpx9r4Zg68MxX,Alt Country • Folk • Americana • Roots • Acoustic • Singer Songwriter,"Old guitars, honest songwriting, friends singing harmony on the porch, beers in hand  • IG: @retro.tones",Singer/Songwriter,o16a7ny37b9026pxfoqc4rhe1,241,3199
3802,spotify:playlist:0p8hydGf9XYkeXd8OM1Dav,Singer Songwriter Music,"write, sing, listen, repeat.",Singer/Songwriter,b0zk0bw64m81rglbzqaaqj1a4,77,2884
3803,spotify:playlist:4SMJt6sMiQwEaZW6F6aRMM,Singer Songwriter Songs 2023 - Relaxing and Inspiring,Singers and Songwriters Songs  - Relaxing and Inspiring Singer Songwriter Music. Enjoy this Playlist!,Singer/Songwriter,dionkurtanthony,396,1937
3804,spotify:playlist:7s3l2wSfDgkrEkcKiEvr1p,Singers and Songwriters,,Singer/Songwriter,12123529279,109,1695
3805,spotify:playlist:1OyDBBtxyh8joY9De7cUd2,Singers and Songwriters,,Singer/Songwriter,twallis4,407,1361
